column 1,column 2
399,3.283333
400,3.88528
401,4.422019
402,4.962192
403,5.428884
404,5.831875
405,6.282063
406,6.768371
407,7.153296
408,7.491822
409,7.28876
410,7.686192
411,7.08504
412,7.44587
413,7.800222
414,6.820734
415,7.5401
416,7.909676
417,8.302613
418,8.663673
419,8.993605
420,9.280816
421,9.557997
422,9.837574
423,9.504833
424,9.763584
425,10.04552
426,10.30683
427,10.51884
428,10.74451
429,10.97308
430,11.19196
431,11.37123
432,11.5468
433,11.72706
434,11.89513
435,12.05763
436,12.20584
437,11.59947
438,11.11107
439,10.56008
440,10.90055
441,11.17905
442,10.73518
443,10.29553
444,10.71118
445,11.13002
446,11.52487
447,11.88461
448,11.28063
449,10.93109
450,10.4588
451,10.99205
452,11.37798
453,11.89463
454,12.3311
455,12.63716
456,12.95259
457,13.25802
458,12.16405
459,12.54619
460,12.68932
461,13.03914
462,13.35249
463,13.63531
464,13.03305
465,13.38125
466,13.62858
467,13.92539
468,14.18085
469,14.21805
470,14.47576
471,14.71153
472,13.35094
473,11.96565
474,10.78006
475,9.686098
476,8.833426
477,9.691747
478,8.574871
479,9.534739
480,8.378389
481,6.629745
482,6.225368
483,5.5661
484,5.095444
485,6.378864
486,5.638625
487,6.807669
488,5.996003
489,5.412903
490,4.714861
491,4.098404
492,3.504924
493,4.722892
494,6.078115
495,7.324435
496,8.264493
497,9.268159
498,10.22592
499,11.03007
500,10.96365
501,9.33071
502,10.30243
503,9.257732
504,8.879921
505,6.893488
506,7.017933
507,5.309087
508,3.462768
509,3.642566
510,3.860432
511,4.07337
512,4.500168
513,4.835535
514,4.90673
515,5.10279
516,5.580751
517,6.930743
518,7.532773
519,8.775432
520,9.878608
521,10.89923
522,12.0743
523,12.89036
524,13.62724
525,11.91597
526,8.658674
527,6.33872
528,4.896027
529,6.590414
530,7.997783
531,8.221731
532,9.507915
533,9.454906
534,9.175471
535,5.983654
536,6.246449
537,6.693662
538,6.211704
539,5.076902
540,5.327388
541,5.84951
542,5.619754
543,5.238646
544,5.203754
545,6.054565
546,7.697262
547,9.208445
548,10.5945
549,11.86175
550,13.0269
551,14.10196
552,12.77264
553,13.94007
554,14.99774
555,15.98197
556,16.63236
557,17.49526
558,18.30901
559,16.98368
560,15.7951
561,15.32052
562,15.87061
563,14.87667
564,13.37831
565,12.62729
566,10.62752
567,8.841287
568,7.420671
569,9.543923
570,9.5766
571,8.328446
572,8.882684
573,10.86952
574,12.8538
575,14.68294
576,16.33429
577,17.86354
578,19.28859
579,20.63378
580,21.64736
581,21.36585
582,22.1645
583,22.80889
584,21.52816
585,22.13877
586,22.63153
587,22.78878
588,23.66446
589,24.34589
590,25.7648
591,26.26358
592,26.68301
593,27.61405
594,28.64574
595,29.14625
596,30.06897
597,30.96208
598,31.62803
599,32.36474
600,33.10861
601,33.83168
602,34.5303
603,35.20653
604,35.37733
605,36.03973
606,36.64651
607,37.4103
608,38.02691
609,37.7906
610,38.18483
611,36.88164
612,35.72104
613,34.70492
614,35.73466
615,34.85248
616,34.03012
617,33.47324
618,33.02898
619,34.41652
620,35.65939
621,36.3008
622,35.07477
623,34.00071
624,33.07892
625,32.64891
626,31.57797
627,30.72099
628,32.55663
629,34.24266
630,35.75365
631,37.15554
632,36.50554
633,35.93238
634,35.55576
635,37.05161
636,38.44215
637,39.17016
638,39.82006
639,40.46099
640,41.08998
641,41.57466
642,42.00267
643,42.36487
644,43.32748
645,44.19459
646,44.45514
647,45.25534
648,44.48014
649,43.70431
650,42.71376
651,42.93547
652,43.26202
653,42.52932
654,42.84592
655,43.67501
656,44.44674
657,45.40631
658,46.04076
659,46.0243
660,46.00545
661,46.00288
662,45.95179
663,46.05701
664,46.01314
665,46.13156
666,46.26104
667,46.24845
668,46.1795
669,45.12725
670,44.13073
671,43.47088
672,43.75349
673,44.052
674,44.47702
675,44.752
676,44.61663
677,44.83623
678,45.20638
679,45.45321
680,45.72428
681,45.93923
682,44.87082
683,45.66266
684,46.42955
685,46.36381
686,46.98717
687,47.58272
688,48.11138
689,48.61538
690,49.08445
691,49.55759
692,49.9312
693,50.27737
694,50.691
695,50.46975
696,50.3576
697,50.1891
698,49.29592
699,49.33404
700,48.86853
701,48.88142
702,48.99543
703,49.10657
704,49.42586
705,49.694
706,49.83434
707,50.06379
708,50.24189
709,50.4412
710,50.54529
711,50.70304
712,50.89113
713,50.8972
714,50.87202
715,50.95334
716,51.00114
717,51.12113
718,51.26001
719,50.43505
720,50.58073
721,50.7149
722,50.76069
723,50.76271
724,50.77986
725,50.79977
726,50.84021
727,50.87069
728,50.85789
729,50.90785
730,50.88076
731,50.82877
732,50.79382
733,50.74957
734,49.71229
735,48.75938
736,47.99903
737,47.36082
738,47.70383
739,46.99946
740,46.51126
741,45.97722
742,45.7404
743,45.41764
744,43.70998
745,42.21715
746,41.01405
747,41.31605
748,41.45643
749,41.61161
750,41.56436
751,41.40873
752,41.05527
753,40.65116
754,40.3279
755,40.19351
756,41.18924
757,40.79296
758,40.20438
759,41.58274
760,42.17278
761,43.31028
762,43.95183
763,45.15467
764,45.93766
765,46.69287
766,47.38698
767,47.77489
768,48.21313
769,48.64748
770,47.74838
771,46.95594
772,46.18689
773,45.50674
774,44.83512
775,44.0536
776,44.85838
777,45.57441
778,46.33075
779,46.88833
780,47.31056
781,47.59308
782,48.01346
783,48.34069
784,48.63962
785,48.06641
786,47.42365
787,46.89587
788,46.45252
789,46.12198
790,45.81927
791,46.20811
792,46.48625
793,46.68446
794,46.85543
795,46.97955
796,47.0064
797,46.7522
798,46.68308
799,46.57734
800,46.38059
801,46.15429
802,45.78423
803,45.54506
804,45.27967
805,43.59379
806,43.43895
807,43.2564
808,42.68621
809,41.37938
810,41.29568
811,40.58397
812,40.43304
813,40.29289
814,39.51831
815,39.08624
816,38.61877
817,38.63276
818,38.53623
819,38.77159
820,38.76633
821,38.1684
822,37.11034
823,36.52499
824,36.59256
825,35.61842
826,35.52452
827,35.04906
828,34.83373
829,34.94817
830,34.8345
831,34.40943
832,34.11721
833,33.78789
834,33.94478
835,34.02276
836,34.03412
837,33.48744
838,32.87357
839,32.11441
840,31.49883
841,30.85347
842,30.09985
843,29.51613
844,28.94835
845,28.38885
846,28.14211
847,27.53595
848,26.92832
849,26.40525
850,25.84503
851,25.32489
852,24.80972
853,24.27708
854,23.75552
855,23.28527
856,22.77411
857,22.29125
858,21.81343
859,21.35578
860,20.91448
861,20.49054
862,20.05145
863,19.64158
864,18.30379
865,18.00045
866,17.68596
867,17.34189
868,16.98865
869,16.6706
870,16.33554
871,16.02627
872,15.69485
873,15.3737
874,15.02471
875,14.70216
876,14.36991
877,14.07751
878,13.78388
879,13.5308
880,13.26095
881,12.95502
882,11.58445
883,11.42563
884,11.22693
885,11.02941
886,10.83317
887,10.66835
888,10.45333
889,10.28537
890,9.517208
891,8.740344
892,8.669206
893,8.598353
894,8.552996
895,8.530021
896,7.87265
897,8.129369
898,8.115335
899,8.105857
900,8.02466
901,7.950057
902,7.889679
903,7.834361
904,7.77939
905,7.685059
906,7.618696
907,7.561152
908,7.440982
909,8.242435
910,8.031352
911,7.831633
912,7.61813
913,7.422861
914,7.241995
915,7.049568
916,6.873
917,6.458266
918,6.172557
919,4.865602
920,4.191632
921,4.302418
922,4.490315
923,5.110646
924,5.778272
925,6.374796
926,6.904699
927,7.386112
928,7.806676
929,8.165692
930,8.478167
931,8.740968
932,9
933,8.380847
934,8.664233
935,8.912874
936,9.116796
937,9.321908
938,9.496263
939,8.914307
940,8.653891
941,8.115345
942,7.421453
943,6.978407
944,6.591457
945,6.262598
946,5.94589
947,5.626421
948,4.665022
949,4.5608
950,4.453545
951,4.410989
952,4.730863
953,5.242403
954,4.956356
955,4.648942
956,4.352399
957,3.611121
958,2.942874
959,2.479738
960,2.133392
961,2.098553
962,2.073096
963,2.004839
964,2.059397
965,2.661871
966,3.27767
967,3.059706
968,2.7903
969,3.36488
970,3.417539
971,2.806581
972,2.8099
973,2.886881
974,3.187247
975,3.429782
976,3.828928
977,4.231448
978,4.62014
979,3.721941
980,4.175494
981,4.5702
982,3.754006
983,4.186535
984,3.855997
985,3.608873
986,4.014882
987,4.392393
988,4.710281
989,4.897713
990,4.829222
991,4.260226
992,4.605769
993,4.885903
994,5.154891
995,5.419568
996,4.982625
997,5.213399
998,5.334499
999,5.313242
